# extracted_at=2026-06-04T11:59:10Z source=poi_source_raw source_current_rows=8551
relation_record_id,member_record_ids
relation/17572108,way/1280772392|way/1280772393|way/1280772396|way/1280772395|way/1280772398|way/1280772397|way/1280772400|way/1280772399|way/1280772403|way/1280772401|way/1280772402|way/1280772412|way/1280772411|way/1280772414|way/1280772417|way/1280772418|way/1280772420|way/1280772421|way/1280969084|way/1280969093|way/1280969087|way/1280772415|way/1280969079|way/1280969083|way/1280969080|way/1280969085|way/1280969103|way/1280969102|way/1280969094
relation/17572109,way/1280772394|way/1280772402
relation/17572110,way/1280772400|way/1280772414|way/1280969082|way/1280969080|way/1280969090|way/1280969088|way/1280969077|way/1280969079|way/1280772415|way/1280969087|way/1280969086|way/1280772423|way/1280772418|way/1280772419|way/1280772411|way/1280772413|way/1280772420|way/1280772422|way/1280772399|way/1280772394|way/1280772401|way/1280772404|way/1280772395|way/1280772405|way/1280772392|way/1280772406|way/1280772397|way/1280772407|way/170784611|way/1280772409|way/170784610|way/1280969091|way/1280969092|way/1280969095|way/1280969097|way/1280969094|way/1280969101|way/1280969084|way/1280969081|way/1280969100|way/1280969098
relation/17574650,way/1280969096|way/1280969095
relation/18056324,way/1324563095|way/1316267797|way/1316267795|way/1316267794|way/1316267793|way/1325534903|way/1325534901|way/1374623963|way/1374623960|way/1374623954|way/1325534893|way/1325534890|way/1180466584|way/1374932114|way/1374932110|way/1374932115|way/1374932112|way/1374932111|way/1374932131|way/1374932126|way/1374932127|way/1374932130|way/1374932128|way/1374932108|way/1374932135|way/1374932132|way/1374932133|way/1374932138|way/1374932139|way/1374932136|way/1374932142|way/1374932141|way/1374932143|way/1374932144
relation/18056325,way/1316267797|way/1316267796|way/1316267802|way/1324563096|way/1324563098|way/475167634|way/1324563103|way/1324563102|way/1325534899|way/475167606|way/1325534900|way/1325534906|way/1325534907|way/1325534908|way/1325534903|way/1325534904|way/1325534893|way/1374623957|way/1374623955|way/1374623956|way/1374623960|way/1374623958|way/1374623959|way/1374623966|way/1374623965|way/1374623968|way/1180466584|way/1325534891|way/1325534898|way/1325534897|way/1325534896|way/1324563094|way/1374623964|way/1324563099|way/1374623962|way/1374623961|way/1374932111|way/1374932113|way/1374932116|way/1374932109|way/1374932110|way/1374932121|way/1374932119|way/1374932125|way/1374932117|way/1374932124|way/1374932126|way/1374932123|way/1374932133|way/1374932137|way/1374932136|way/1374932134|way/1374932132|way/1374932138|way/1374932140|way/1374932145|way/1374932144
relation/18171813,way/1324563099|way/1324563097|way/1324563096|way/1324563100|way/1324563103|way/1325534894|way/1324563094|way/1374623967|way/1374623965|way/1324563104|way/1325534897|way/1325534899|way/1374623961|way/1374623962|way/1374623964|way/1374932114|way/1374932113|way/1374932112|way/1374932120|way/1374932119|way/1374932118|way/1374932117|way/1374932122|way/1374932109|way/1374932123|way/1374932129|way/1374932128
relation/18354951,way/1339159267|way/1339159266|way/1339159270|way/1339159274|way/1339159275|way/1339159268|way/1339159269|way/1339159271|way/1339159272|way/1339159273
relation/18354952,way/1339159268|way/1339159269
relation/18454117,way/1344879453|way/1344879462|way/1344879461|way/1344879456|way/1344879449|way/1344879452|way/1344879465|way/1344879450|way/1344879463|way/1344879472|way/1344879473|way/1344879474|way/1344879480|way/1344879475|way/1344879476|way/1344879477|way/1344879478
relation/18454118,way/1344879450|way/1344879449|way/1344879458|way/1344879459|way/1344879451|way/1344879455|way/1344879463|way/1344879464|way/1344879465|way/1344879453|way/1344879460|way/1344879469|way/1344879472|way/1344879473|way/1344879475|way/1344879476|way/1344879477|way/1344879478|way/1344879480|way/1344879479
relation/18454119,way/1344879454|way/1344879456|way/1344879455|way/1344879459|way/1344879457|way/1344879471|way/1344879462|way/1344879460|way/1344879466
relation/18591755,way/1353570026|way/1421091765|way/1353570024|way/1421091762|way/1353570023
relation/18591756,way/1353570030|way/868476510|way/1353570029
relation/18591757,way/1353570028|way/868476510|way/1353570027
